time,level,service,msg
"2025-07-04T10:00:12,145",INFO,AuthService,"User login successful - user_id=2021, ip=10.0.0.1"
"2025-07-04T10:01:07,231",ERROR,PaymentService,"Payment declined - order_id=87654, user_id=2021, error=CardExpired"
"2025-07-04T10:02:35,568",WARNING,Database,"High memory usage detected - usage=92%, query=INSERT INTO sessions (user_id, token) VALUES (?, ?)"
"2025-07-04T10:03:21,904",INFO,APIGateway,"Request received - endpoint=/api/v2/cart, method=POST, user_id=2022"
"2025-07-04T10:04:44,389",ERROR,InventoryService,"Low stock alert - product_id=112233, remaining_quantity=2"
"2025-07-04T10:05:58,762",INFO,EmailService,"Notification email sent - to=user2021@example.com, template=PasswordChangeAlert"
"2025-07-04T10:06:23,091",ERROR,AuthService,"Login failed - user_id=2023, reason=AccountLocked, ip=10.0.0.5"
"2025-07-04T10:07:49,384",INFO,PaymentService,"Payment processed - order_id=87655, user_id=2022, amount=150.00"
"2025-07-04T10:08:42,657",DEBUG,Database,"Query performance metrics - avg_query_time=210ms, active_connections=15"
"2025-07-04T10:09:55,128",ERROR,APIGateway,"Request timeout - endpoint=/api/v2/orders, timeout=30s"
"2025-07-04T10:10:33,674",INFO,InventoryService,"Inventory adjusted - product_id=112233, adjustment=-5, new_quantity=150"
"2025-07-04T10:11:27,452",WARNING,EmailService,"Email queue delay - queue_size=47, average_wait=5m"
"2025-07-04T10:12:39,289",INFO,AuthService,"Two-factor authentication enabled - user_id=2022, ip=10.0.0.7"
"2025-07-04T10:13:58,745",DEBUG,PaymentService,"External gateway response - gateway=PayPal, response_time=350ms"
"2025-07-04T10:14:46,013",ERROR,Database,"Connection lost - replica=node2, duration=18s"
"2025-07-04T10:15:35,521",INFO,AuthService,"User password changed - user_id=2024, ip=10.0.0.9"
"2025-07-04T10:16:19,008",ERROR,PaymentService,"Fraud detection triggered - order_id=87656, user_id=2025, reason=VelocityLimitExceeded"
"2025-07-04T10:17:47,903",INFO,APIGateway,"Request processed - endpoint=/api/v2/payments, method=POST, status=200, user_id=2022"
"2025-07-04T10:18:34,726",DEBUG,Database,"Deadlock detected - transaction_id=7765, involved_queries=2"
"2025-07-04T10:19:29,148",WARNING,InventoryService,"Product nearing expiration - product_id=445566, expiry_date=2025-07-10"
"2025-07-04T10:20:51,632",INFO,EmailService,"Promotional email campaign launched - campaign_id=SUMMER25, recipients=15000"
"2025-07-04T10:21:13,983",ERROR,AuthService,"Unauthorized access attempt - ip=10.0.0.12, endpoint=/admin/config"
"2025-07-04T10:22:37,596",INFO,PaymentService,"Refund issued - order_id=87654, user_id=2021, amount=45.00"
"2025-07-04T10:23:14,310",DEBUG,Database,"Index optimization completed - table=sessions, duration=22s"
"2025-07-04T10:24:45,901",ERROR,APIGateway,"Upstream service unavailable - endpoint=/api/v2/shipping, service=ShippingService"
"2025-07-04T10:25:27,409",INFO,InventoryService,"New shipment received - product_id=112233, quantity=500"
"2025-07-04T10:26:53,212",WARNING,EmailService,"Email bounce detected - to=user2023@example.com, reason=MailboxFull"
"2025-07-04T10:27:40,577",INFO,AuthService,"User logged out - user_id=2022, ip=10.0.0.7"
"2025-07-04T10:28:31,063",ERROR,PaymentService,"Payment gateway timeout - gateway=Stripe, timeout=15s"
"2025-07-04T10:29:15,830",DEBUG,Database,"Cache hit ratio - value=87.3%, cache_size=512MB"
"2025-07-04T10:30:42,155",INFO,APIGateway,Health check passed - endpoint=/health
"2025-07-04T10:31:58,924",ERROR,InventoryService,"Inventory mismatch detected - product_id=445566, expected=200, actual=197"
"2025-07-04T10:32:26,648",INFO,EmailService,System notification dispatched - message=System maintenance scheduled at 02:00 AM UTC
"2025-07-04T10:33:17,981",WARNING,AuthService,"Multiple failed login attempts - user_id=2026, ip=10.0.0.14, attempts=5"
"2025-07-04T10:34:22,409",INFO,PaymentService,"Payment verification completed - order_id=87657, user_id=2027, status=Verified"
"2025-07-04T10:35:47,562",DEBUG,Database,"Table analysis summary - table=products, row_count=125000"
"2025-07-04T10:36:59,034",ERROR,APIGateway,"Payload too large - endpoint=/api/v2/uploads, payload_size=55MB"
"2025-07-04T10:37:44,278",INFO,InventoryService,"Stock transfer recorded - from=WarehouseA, to=WarehouseB, product_id=112233, quantity=300"
"2025-07-04T10:38:21,965",WARNING,EmailService,"High unsubscribe rate detected - campaign_id=SUMMER25, unsubscribe_rate=8.5%"
"2025-07-04T10:39:32,704",INFO,AuthService,"Security question updated - user_id=2028, ip=10.0.0.18"
"2025-07-04T10:40:10,458",ERROR,PaymentService,"Duplicate transaction detected - order_id=87658, user_id=2029, transaction_id=TXN998877"
"2025-07-04T10:41:53,291",DEBUG,Database,"Replication lag detected - replica=node3, lag_seconds=12"
